sy_snum,sy_pnum,pl_orbper,pl_rade,pl_dens,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg
1,1,11.94900000,2.790,2.070000,0.220000,,3910.00,0.47,0.47,,,4.77
1,1,4100.00000000,13.300,1.710000,0.370000,,3900.00,0.65,0.69,0.000,[M/H],4.61
1,1,14.20700000,2.460,2.440000,0.310000,,3526.00,0.44,0.47,-0.090,[Fe/H],4.77
1,1,3.33664960,4.570,0.800000,0.017000,594,3600.00,0.55,0.54,0.200,[Fe/H],4.70
1,1,203.59000000,14.300,0.277000,0.435600,,3081.00,0.14,0.12,-0.070,[Fe/H],5.16
1,1,2.64561000,2.830,2.040000,0.080000,,3517.00,0.43,0.45,,,4.78
1,1,3.02320000,2.750,2.110000,0.070000,,3324.00,0.28,0.27,0.000,[Fe/H],5.05
1,1,6.90500000,2.570,2.310000,0.121000,590,3867.00,0.61,0.63,-0.040,[Fe/H],4.65
1,1,12.94600000,1.450,4.850000,0.120000,370,3601.00,0.39,0.39,-0.090,[Fe/H],4.87
1,1,20.12900000,3.330,1.650000,0.110000,,3323.00,0.37,0.35,,,4.85
1,1,13.35200000,4.220,1.210000,0.370000,,3387.00,0.41,0.41,0.120,[Fe/H],4.97
1,1,2.64388312,4.170,1.800000,0.138270,686,3479.00,0.46,0.47,0.020,[Fe/H],4.79
1,1,9.56700000,3.690,1.440000,0.100000,,3381.00,0.46,0.45,,,4.78
1,1,1.46711900,1.305,7.000000,0.050000,701,3340.00,0.33,0.32,0.070,[Fe/H],4.89
1,1,,13.000,3.180000,,510,6234.00,1.26,1.22,0.280,[Fe/H],4.60
1,1,8.70760000,2.170,2.880000,0.080000,,3685.00,0.50,0.52,-0.080,[Fe/H],4.75
1,1,14.62800000,1.490,4.680000,0.130000,,3499.00,0.31,0.30,-0.380,[Fe/H],4.94
1,1,598.30000000,12.500,0.293000,0.300000,,3700.00,0.46,0.54,0.080,[Fe/H],4.72
1,1,4.69380000,3.330,1.650000,0.200000,,3600.00,0.36,0.35,-0.280,[Fe/H],4.86
1,1,24.16000000,2.950,1.930000,0.000000,,3816.00,0.54,0.55,-0.150,[Fe/H],4.72
1,1,2.37756000,1.530,4.540000,0.240000,829,3913.00,0.56,0.58,0.080,[Fe/H],4.68
1,1,1882.00000000,13.800,0.665000,0.040000,,3241.00,0.53,0.65,0.240,[Fe/H],4.80
1,1,73.94000000,4.670,1.060000,0.440000,,3785.00,0.58,0.60,0.140,[Fe/H],4.67
1,1,,33.600,0.921000,,2650,4360.00,1.94,0.70,-0.350,[Fe/H],3.65
1,1,,20.176,2.850000,,2300,4200.00,0.90,0.60,-0.060,[Fe/H],4.37
1,1,,14.179,6.920000,,1050,4031.81,0.45,0.33,0.100,[Fe/H],4.78
1,1,3.82200000,3.660,1.460000,0.109000,830,3879.00,0.56,0.56,0.060,[Fe/H],4.69
1,1,15.53000000,2.460,2.450000,0.050000,379,3656.00,0.43,0.43,-0.230,[Fe/H],4.87
1,1,3.21305980,10.749,0.319200,0.000000,963,4650.00,0.70,0.73,-0.290,[Fe/H],4.61
1,1,10.86350000,11.882,1.960000,0.190000,904,5568.00,1.07,1.00,0.220,[Fe/H],4.38
1,1,5.50802300,11.153,0.250000,0.084000,852,4803.00,0.75,0.77,0.100,[Fe/H],4.57
1,1,4.00877800,12.689,0.250000,0.067000,1010,4990.00,0.82,0.84,0.230,[Fe/H],4.54
1,1,5.63351580,10.660,7.290000,0.517200,1540,6380.00,1.39,1.33,0.180,[Fe/H],4.16
1,1,2.87531700,9.718,13.780000,0.015000,970,4595.00,0.69,0.76,0.350,[Fe/H],4.63
1,1,4.12448000,12.442,4.600000,0.230000,1283,5588.00,1.21,1.24,0.010,[Fe/H],4.33
1,1,1.21288000,12.218,1.406000,0.110000,1951,5905.00,0.96,0.58,0.150,[Fe/H],4.33
1,1,3.65281514,12.722,0.483000,0.023000,1182,5519.00,0.92,1.01,0.294,[Fe/H],4.52
1,1,4.23452000,7.062,0.400000,0.120000,1001,5079.00,0.87,1.12,-0.040,[Fe/H],4.56
1,1,3.25721500,13.585,0.440000,0.051000,1384,5680.00,1.10,1.02,0.120,[Fe/H],4.36
1,1,5.00542000,12.218,2.180000,0.250000,1450,6065.00,1.39,1.31,0.150,[Fe/H],4.26
1,1,5.45265400,13.417,2.500000,0.432000,1520,6442.00,1.53,1.39,0.220,,4.21
1,1,1.32734683,14.314,1.175000,0.063000,1781,5620.00,1.04,1.03,0.250,[Fe/H],4.42
1,1,2.79743600,13.204,0.890000,0.058000,1271,5500.00,0.88,0.93,0.030,,4.51
1,1,4.64038200,9.247,0.590000,0.067000,1082,5330.00,0.92,0.89,0.060,,4.37
1,1,4.45724000,17.038,0.150000,0.000000,1770,6080.00,1.94,1.03,0.220,[Fe/H],3.93
1,1,4.64187800,14.348,0.610000,0.000000,1428,5743.00,1.53,1.18,0.270,[Fe/H],4.14
1,1,3.33268700,14.359,0.390000,0.000000,1361,5645.00,1.10,1.05,0.230,[Fe/H],4.37
1,1,3.12899200,15.984,0.380000,0.049000,1652,6330.00,1.32,1.26,0.070,[Fe/H],4.30
1,1,4.46312900,14.392,0.280000,0.123000,1458,6120.00,1.40,1.28,0.300,[Fe/H],4.25
1,1,2.69155000,17.822,0.750000,0.000000,2131,6820.00,2.06,2.22,0.070,[Fe/H],4.10
1,1,2.78849000,13.563,0.642000,0.000000,1539,5960.00,1.12,1.04,0.240,[Fe/H],4.37
1,1,3.12201090,14.437,0.780000,0.115000,1862,6280.00,1.70,1.27,-0.180,[Fe/H],4.07
1,1,4.21802780,14.493,0.178000,0.123000,1192,5449.00,1.04,0.98,0.270,[Fe/H],4.39
1,1,2.75359530,11.310,0.980000,0.047000,1218,5131.00,0.89,0.89,0.280,[Fe/H],4.48
1,1,1.96162410,14.773,0.800000,0.134000,1778,5956.00,1.21,1.09,0.000,[Fe/H],4.31
1,1,3.79984700,10.581,1.118000,0.074000,818,4390.00,0.62,0.65,-0.127,[Fe/H],4.67
1,1,3.58524670,13.249,0.435000,0.139000,1313,5808.00,1.01,1.01,-0.030,[Fe/H],4.43
1,1,2.79083000,16.926,0.750000,0.290000,1840,6566.00,1.47,1.42,0.000,[Fe/H],3.39
1,1,3.85298000,16.589,0.558000,0.000000,1675,6570.00,1.62,1.79,-0.130,[Fe/H],4.22
1,1,2.60545520,21.185,0.096000,0.304000,1930,5835.00,1.86,1.21,0.100,[Fe/H],3.98
1,1,2.97208600,17.822,0.242000,0.090000,1896,6002.00,1.88,1.25,0.035,[Fe/H],3.99
1,1,2.29840551,12.016,0.727000,0.041000,1028,4508.00,0.67,0.68,-0.059,[Fe/H],4.62
1,1,4.78694910,18.786,1.020000,0.000000,1930,7394.00,1.93,1.65,-0.069,[Fe/H],4.11
1,1,2.74432452,20.961,1.540000,0.000000,2562,8450.00,1.86,1.89,-0.059,[Fe/H],4.18
1,1,3.92281072,15.614,0.342000,0.084000,1540,6350.00,1.34,1.28,0.120,[Fe/H],4.29
1,1,3.44645900,14.594,1.030000,0.120000,1359,5870.00,1.04,0.99,0.060,,4.59
1,1,3.31284600,10.862,0.700000,0.501000,1407,5880.00,1.10,1.10,0.150,[Fe/H],4.39
1,1,3.61918800,18.030,0.315000,0.340000,1596,6563.00,1.54,1.33,0.030,[Fe/H],4.19
1,1,3.14270200,7.760,1.120000,0.085000,1446,6357.00,1.17,1.16,-0.100,[Fe/H],4.36
1,1,3.04404990,13.585,0.377000,0.181000,1244,5523.00,0.89,0.96,0.050,[Fe/H],4.52
1,1,2.76676410,11.646,1.191000,0.142000,1276,5346.00,0.93,0.97,0.330,[Fe/H],4.48
1,1,1.74748753,12.386,1.970000,0.126000,1505,5311.00,0.92,0.87,0.000,[Fe/H],4.45
1,1,2.68650200,14.572,1.860000,0.000000,1592,5738.00,1.24,0.97,-0.100,[Fe/H],4.24
1,1,16.25461100,8.709,3.500000,0.029000,814,5846.00,1.09,1.13,0.300,[Fe/H],4.42
1,1,0.83784000,14.897,1.116900,0.166000,2069,5600.00,1.02,1.04,0.280,[Fe/H],4.44
1,1,1.35413300,13.092,1.050000,0.000000,1577,5227.00,0.90,0.88,0.150,[Fe/H],4.48
1,1,4.72281240,10.682,3.890000,0.079000,858,4803.00,0.69,0.76,0.000,[Fe/H],4.64
1,1,2.16051560,20.849,0.290000,0.114000,1654,5780.00,1.20,1.12,0.280,[Fe/H],4.33
1,1,1.34849780,15.637,1.030000,0.000000,2166,6125.00,1.12,1.07,-0.229,[Fe/H],4.37
1,1,4.29864320,14.123,0.380000,0.176000,1277,5715.00,1.11,0.99,0.020,[Fe/H],4.35
1,1,3.30238810,19.616,0.153000,0.245000,1918,6071.00,2.04,1.30,-0.020,[Fe/H],3.94
1,1,4.63703800,16.814,0.180000,0.581000,1659,6438.00,1.74,1.42,0.090,[Fe/H],4.11
1,1,3.18107810,13.384,0.480000,0.202000,1253,5498.00,0.92,0.93,0.010,[Fe/H],4.48
1,1,4.60587490,14.022,0.411000,0.158000,1212,5670.00,1.07,1.03,0.160,[Fe/H],4.39
1,1,3.54785100,15.480,0.510000,0.000000,1648,6351.00,1.40,1.21,-0.157,[Fe/H],4.22
1,1,3.37796000,18.383,0.243000,0.233000,1823,6050.00,1.87,1.27,0.000,[Fe/H],4.00
1,1,2.81265480,14.000,0.580000,0.471000,1437,5700.00,1.10,1.10,0.390,[Fe/H],4.40
1,1,2.54955510,13.787,0.790000,0.080000,1429,5659.00,1.02,1.06,0.290,[Fe/H],4.45
1,1,2.10616070,16.029,0.400000,0.108000,1445,5380.00,0.98,0.95,0.250,[Fe/H],4.43
1,1,1.82099930,16.410,0.484000,0.306000,2037,6300.00,1.43,1.32,0.210,[Fe/H],4.24
1,1,4.17518600,12.920,2.120000,0.105000,1203,5950.00,1.10,1.10,0.150,[Fe/H],4.40
1,1,4.37502100,6.882,0.403000,0.000000,1294,5732.00,1.10,0.89,-0.102,[Fe/H],4.30
1,1,4.57763480,17.598,0.202000,0.275000,1645,6572.00,1.62,1.38,0.000,[Fe/H],4.16
1,1,2.51672900,11.433,1.550000,0.013000,1315,5403.00,0.93,1.00,0.430,[Fe/H],4.51
1,1,3.26427360,17.710,0.490000,0.312000,2101,6460.00,2.26,1.56,0.010,[Fe/H],3.92
1,1,4.19364900,14.908,5.100000,0.380000,1710,6424.00,1.71,1.50,0.470,[Fe/H],4.14
1,1,2.29210200,15.693,0.830000,0.229000,1856,6060.00,1.48,1.27,0.220,[Fe/H],4.20
1,1,4.38884970,13.227,0.191000,0.173000,1003,5099.00,0.81,0.84,0.050,[Fe/H],4.54
1,1,2.74390040,11.960,0.560000,0.279000,1161,5080.00,0.85,0.86,0.320,[Fe/H],4.51
1,1,4.18762440,14.415,0.410000,0.240000,1518,6450.00,1.31,1.27,0.020,[Fe/H],4.30
1,1,4.74237290,10.122,0.280000,0.559000,1054,5495.00,0.85,0.92,-0.060,[Fe/H],4.54
1,1,3.92280380,12.520,0.331000,0.088000,853,4512.00,0.66,0.67,-0.113,[Fe/H],4.63
1,1,4.14804670,8.575,0.986000,0.071000,835,4405.00,0.70,0.71,0.208,[Fe/H],4.60
1,1,4.76338700,10.223,0.390000,0.019000,1025,5304.00,0.87,0.94,0.190,[Fe/H],4.53
1,1,3.82970150,12.666,0.330000,0.516000,,5990.00,1.12,1.17,,,4.41
1,1,3.34887020,15.805,0.340000,0.330000,1553,5758.00,1.44,1.19,,,4.20
1,1,1.36665436,15.491,1.060000,0.246000,1834,6010.00,1.05,1.11,-0.284,[M/H],4.45
1,1,3.85377680,15.020,0.303000,0.330000,1312,5644.00,1.10,0.96,,,4.34
