pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-941 b,Kepler-941,1,1,0,17.42395198,0.131100,3.080,0.275,9.69000,0.03050,M-R relationship,0.000000,47.03,722,0,,5539.00,0.86,0.89,-0.150,[Fe/H],-0.206,4.53,4.070,0.11360,,,,15.5723000
Kepler-942 b,Kepler-942,1,1,0,44.96417488,0.229800,2.130,0.190,5.18000,0.01630,M-R relationship,0.000000,4.96,379,0,,4861.00,0.75,0.81,0.090,[Fe/H],-0.585,4.59,4.170,2.12768,,,-36.01,13.0663000
Kepler-943 b,Kepler-943,1,1,0,49.77014380,0.255900,5.930,0.529,29.50000,0.09280,M-R relationship,0.000000,10.16,455,0,,5612.00,0.91,0.93,-0.070,[Fe/H],0.407,4.50,4.270,0.23560,0.5000,,,15.6387000
Kepler-944 b,Kepler-944,1,1,0,43.31677370,0.228800,2.630,0.235,7.41000,0.02330,M-R relationship,0.000000,20.17,459,0,,5409.00,0.83,0.86,-0.110,[Fe/H],-0.078,4.54,4.470,3.06120,,,,15.7109000
Kepler-945 b,Kepler-945,1,1,0,31.00338140,0.203700,2.630,0.235,7.41000,0.02330,M-R relationship,0.000000,31.70,616,0,,5718.00,0.97,0.97,-0.010,[Fe/H],0.024,4.46,4.470,1.87035,,,,15.8596000
Kepler-946 b,Kepler-946,1,1,0,11.79162572,0.100200,1.930,0.172,4.38000,0.01380,M-R relationship,0.000000,124.07,857,0,,5665.00,0.93,0.94,-0.090,[Fe/H],0.134,4.47,4.170,3.74820,,,,14.9234000
Kepler-947 b,Kepler-947,1,1,0,26.96443170,0.177300,2.280,0.203,5.82000,0.01830,M-R relationship,0.000000,51.95,573,0,,5508.00,0.87,0.90,-0.070,[Fe/H],0.142,4.52,4.270,4.45566,,,,15.7517000
Kepler-948 b,Kepler-948,1,1,0,7.76846622,0.074900,1.850,0.165,4.08000,0.01280,M-R relationship,0.000000,126.20,841,0,,5679.00,0.94,0.96,-0.020,[Fe/H],-0.109,4.47,4.170,1.12282,,,,14.7858000
Kepler-949 b,Kepler-949,1,1,0,8.68930730,0.077400,2.910,0.260,8.80000,0.02770,M-R relationship,0.000000,58.44,782,0,,5403.00,0.86,0.89,0.010,[Fe/H],-0.442,4.53,4.570,4.35145,,,,14.5084000
Kepler-95 b,Kepler-95,1,1,0,11.52310000,0.101700,3.420,0.305,13.00000,0.04100,Mass,0.000000,178.83,927,0,,5699.00,1.41,1.08,0.300,[Fe/H],0.281,4.17,5.630,0.54000,0.7000,,-29.60,12.3044000
Kepler-950 b,Kepler-950,1,1,0,98.71804060,0.398200,8.980,0.801,59.60000,0.18800,M-R relationship,0.000000,3.97,360,0,,5857.00,1.02,1.02,0.020,[Fe/H],0.355,4.44,3.800,3.36280,,,,15.6813000
Kepler-952 b,Kepler-952,1,1,0,130.35469190,0.518300,7.650,0.682,45.40000,0.14300,M-R relationship,0.000000,5.05,369,0,,5730.00,0.99,1.00,0.060,[Fe/H],0.097,4.45,4.270,2.31284,,,,15.1882000
Kepler-953 b,Kepler-953,1,2,0,88.40655258,0.392000,4.210,0.376,16.50000,0.05190,M-R relationship,0.000000,5.84,410,0,,5416.00,0.99,0.95,0.260,[Fe/H],-0.119,4.42,8.710,0.26440,,,,12.1425000
Kepler-953 c,Kepler-953,1,2,0,9.10967112,0.086200,1.190,0.106,1.81000,0.00570,M-R relationship,0.000000,121.04,873,0,,5416.00,0.99,0.95,0.260,[Fe/H],-0.119,4.42,8.710,0.44401,,,,12.1425000
Kepler-954 b,Kepler-954,1,1,0,16.78176602,0.118000,2.320,0.207,5.99000,0.01890,M-R relationship,0.000000,21.53,545,0,,4990.00,0.76,0.82,0.020,[Fe/H],-0.572,4.59,3.390,1.87375,,,-24.28,12.9432000
Kepler-955 b,Kepler-955,1,1,0,14.53244172,0.108300,3.130,0.279,9.96000,0.03130,M-R relationship,0.000000,33.09,664,0,,5350.00,0.84,0.89,0.020,[Fe/H],-0.409,4.54,4.370,4.12240,,,,14.6273000
Kepler-956 b,Kepler-956,1,1,0,5.24867263,0.059600,3.000,0.268,9.27000,0.02920,M-R relationship,0.000000,307.06,1056,0,,6040.00,1.15,1.10,0.020,[Fe/H],0.052,4.36,3.470,1.48273,,,,13.2889000
Kepler-957 b,Kepler-957,1,1,0,5.90741354,0.055900,5.500,0.491,25.90000,0.08160,M-R relationship,0.000000,124.91,769,0,,4963.00,0.75,0.81,-0.010,[Fe/H],-0.468,4.60,2.750,42.35500,,,,15.6906000
Kepler-958 b,Kepler-958,1,1,0,9.76788050,0.085200,2.060,0.184,4.90000,0.01540,M-R relationship,0.000000,73.59,749,0,,5421.00,0.86,0.91,0.010,[Fe/H],-0.282,4.53,4.370,11.37484,,,,13.7299000
Kepler-959 b,Kepler-959,1,1,0,14.80074836,0.163300,4.380,0.391,17.60000,0.05550,M-R relationship,0.000000,165.87,1912,0,,7005.00,2.01,1.60,0.020,[Fe/H],0.738,4.04,1.350,0.45596,,,15.54,12.4660000
Kepler-96 b,Kepler-96,1,1,0,16.23850000,0.123500,2.670,0.238,8.46000,0.02700,Mass,0.000000,57.52,711,0,,5690.00,1.02,1.00,0.040,[Fe/H],-0.052,4.42,2.340,1.54000,0.5000,,-47.12,10.2971000
Kepler-960 b,Kepler-960,1,1,0,3.12686223,0.041400,2.290,0.204,5.86000,0.01840,M-R relationship,0.000000,129.22,1391,0,,4755.00,0.72,0.77,0.020,[Fe/H],-0.629,4.61,3.630,8.96358,,,,13.8413000
Kepler-961 b,Kepler-961,1,1,0,16.87727414,0.124500,2.550,0.227,7.04000,0.02210,M-R relationship,0.000000,40.40,642,0,,5582.00,0.90,0.96,0.050,[Fe/H],-0.194,4.51,2.820,2.82159,2.5000,,15.89,14.0430000
Kepler-962 b,Kepler-962,1,1,0,12.05707239,0.098400,1.970,0.176,4.54000,0.01430,M-R relationship,0.000000,53.82,689,0,,5478.00,0.86,0.93,0.010,[Fe/H],-0.261,4.54,2.400,8.14697,,,,13.5580000
Kepler-963 b,Kepler-963,1,1,0,9.97683705,0.084900,2.660,0.237,7.56000,0.02380,M-R relationship,0.000000,83.49,802,0,,5461.00,0.87,0.91,-0.020,[Fe/H],-0.225,4.52,4.070,2.25960,,,,14.9116000
Kepler-964 b,Kepler-964,1,1,0,13.52251060,0.106300,2.120,0.189,5.14000,0.01620,M-R relationship,0.000000,43.92,652,0,,5427.00,0.84,0.93,0.030,[Fe/H],-0.306,4.55,1.910,2.03637,,,,13.9025000
Kepler-965 b,Kepler-965,1,1,0,134.25272980,0.512000,3.380,0.302,11.40000,0.03570,M-R relationship,0.000000,4.98,393,0,,5886.00,1.15,1.05,0.030,[Fe/H],0.148,4.33,5.500,1.64351,,,,13.3334000
Kepler-966 b,Kepler-966,1,1,0,99.74762200,0.390700,4.130,0.368,16.00000,0.05020,M-R relationship,0.000000,10.97,391,1,,5840.00,1.02,1.02,0.040,[Fe/H],0.233,4.43,4.070,0.65013,,,,14.4435000
Kepler-967 b,Kepler-967,1,2,0,13.22713379,0.102700,2.350,0.210,6.12000,0.01930,M-R relationship,0.000000,39.10,638,0,,5178.00,0.80,0.84,-0.030,[Fe/H],-0.718,4.56,5.890,3.39073,,,,14.4513000
Kepler-967 c,Kepler-967,1,2,0,198.71125020,0.625300,3.650,0.326,12.90000,0.04070,M-R relationship,0.000000,1.05,258,0,,5178.00,0.80,0.84,-0.030,[Fe/H],-0.718,4.56,5.890,2.92892,,,,14.4513000
Kepler-968 b,Kepler-968,1,2,0,3.69298373,0.038900,2.000,0.178,4.66000,0.01470,M-R relationship,0.000000,103.91,745,0,,4598.00,0.70,0.76,0.130,[Fe/H],-0.763,4.63,2.140,6.11686,,,,14.2499000
Kepler-968 c,Kepler-968,1,2,0,5.70940492,0.052000,1.690,0.151,3.50000,0.01100,M-R relationship,0.000000,58.15,644,0,,4598.00,0.70,0.76,0.130,[Fe/H],-0.763,4.63,2.140,12.30954,,,,14.2499000
Kepler-969 b,Kepler-969,1,2,0,34.17317140,0.202700,2.070,0.185,4.94000,0.01550,M-R relationship,0.000000,10.17,465,0,,5214.00,0.82,0.92,0.220,[Fe/H],-0.389,4.57,1.510,3.24214,,,,13.7221000
Kepler-969 c,Kepler-969,1,2,0,1.68293460,0.027200,0.990,0.088,0.93700,0.00295,M-R relationship,0.000000,564.58,1270,0,,5214.00,0.82,0.92,0.220,[Fe/H],-0.389,4.57,1.510,1.59429,,,,13.7221000
Kepler-97 b,Kepler-97,1,2,0,2.58664000,0.035600,1.480,0.132,3.51000,0.01100,Mass,0.000000,767.96,1328,0,,5779.00,0.98,0.94,-0.200,[Fe/H],-0.025,4.43,8.420,1.53000,0.5000,,3.14,12.8130000
Kepler-97 c,Kepler-97,1,2,0,789.00000000,,,,344.00000,1.08000,Mass,,,,0,,5779.00,0.98,0.94,-0.200,[Fe/H],-0.037,4.43,8.420,1.53000,0.5000,,3.14,12.8130000
Kepler-971 b,Kepler-971,1,1,0,9.59070716,0.082700,2.130,0.190,5.18000,0.01630,M-R relationship,0.000000,82.77,1087,0,,5431.00,0.85,0.88,-0.060,[Fe/H],-0.299,4.54,4.470,1.72343,,,,13.2181000
Kepler-972 b,Kepler-972,1,1,0,7.03932553,0.073400,4.650,0.415,19.50000,0.06140,M-R relationship,0.000000,266.51,1060,0,,6146.00,1.22,1.15,0.040,[Fe/H],0.191,4.33,2.820,0.08845,,,,14.8925000
Kepler-973 b,Kepler-973,1,1,0,49.60773310,0.250800,1.960,0.175,4.50000,0.01420,M-R relationship,0.000000,7.89,402,0,,5213.00,0.78,0.86,-0.060,[Fe/H],-0.344,4.58,2.290,2.18901,,,-22.84,13.2340000
Kepler-974 b,Kepler-974,1,1,0,4.19449651,0.041900,1.570,0.140,3.09000,0.00972,M-R relationship,0.000000,28.51,577,0,,3687.00,0.50,0.52,0.070,[Fe/H],-1.354,4.76,4.370,4.83840,,,,14.4126000
Kepler-975 b,Kepler-975,1,1,0,1.97034246,0.030300,1.480,0.132,2.79000,0.00879,M-R relationship,0.000000,328.70,1599,0,,4897.00,0.75,0.80,0.070,[Fe/H],-0.512,4.59,3.890,2.55402,,,,14.4518000
Kepler-976 b,Kepler-976,1,1,0,105.95641480,0.421700,3.960,0.353,14.90000,0.04670,M-R relationship,0.000000,2.66,324,0,,5232.00,0.83,0.87,0.070,[Fe/H],-0.360,4.55,4.680,2.54944,,,,15.8033000
Kepler-977 b,Kepler-977,1,1,0,26.85328322,0.162000,2.620,0.234,7.37000,0.02320,M-R relationship,0.000000,13.96,544,0,,5315.00,0.83,0.87,-0.010,[Fe/H],-0.476,4.55,4.570,2.04472,,,,14.8235000
Kepler-978 b,Kepler-978,1,1,0,49.62215090,0.272600,2.990,0.267,9.22000,0.02900,M-R relationship,0.000000,20.99,546,0,,6002.00,1.09,1.07,-0.010,[Fe/H],0.143,4.38,3.630,0.09556,,,22.78,13.3744000
Kepler-979 b,Kepler-979,1,1,0,8.08801350,0.075300,2.720,0.243,7.85000,0.02470,M-R relationship,0.000000,77.84,792,0,,5310.00,0.83,0.87,-0.020,[Fe/H],-0.320,4.54,4.570,7.27802,,,,14.6250000
Kepler-98 b,Kepler-98,1,1,0,1.54168000,0.025600,1.990,0.178,3.55000,0.01100,Mass,0.000000,1107.39,1592,0,,5539.00,1.11,0.99,0.180,[Fe/H],-0.133,4.34,2.790,1.12000,0.5000,,-30.98,12.8694000
Kepler-980 b,Kepler-980,1,1,0,11.55102504,0.100500,2.670,0.238,7.61000,0.02390,M-R relationship,0.000000,170.14,845,0,,5935.00,1.06,1.05,0.010,[Fe/H],0.262,4.41,3.550,1.82309,,,,14.1122000
Kepler-981 b,Kepler-981,1,1,0,4.46975774,0.053500,2.310,0.206,5.95000,0.01870,M-R relationship,0.000000,337.47,1103,0,,5718.00,0.96,0.98,0.010,[Fe/H],-0.081,4.47,4.070,6.84413,,,,14.7044000
Kepler-982 b,Kepler-982,1,1,0,15.77382210,0.129100,2.250,0.201,5.69000,0.01790,M-R relationship,0.000000,185.20,955,0,,6139.00,1.29,1.16,0.050,[Fe/H],0.511,4.28,3.550,0.64822,,,,12.9868000
Kepler-983 b,Kepler-983,1,1,0,60.08550820,0.314800,2.360,0.211,6.17000,0.01940,M-R relationship,0.000000,31.00,485,0,,6052.00,1.08,1.13,0.120,[Fe/H],0.150,4.42,1.410,0.39852,,,,13.9863000
Kepler-984 b,Kepler-984,1,1,0,43.03422720,0.232700,2.120,0.189,5.14000,0.01620,M-R relationship,0.000000,13.99,484,0,,5610.00,0.93,0.96,0.040,[Fe/H],-0.108,4.49,3.980,1.55540,,,,13.4677000
Kepler-985 b,Kepler-985,1,1,0,116.33190100,0.445100,2.980,0.266,9.17000,0.02880,M-R relationship,0.000000,2.59,323,0,,5434.00,0.85,0.91,0.000,[Fe/H],-0.283,4.54,3.390,3.13923,,,,14.7169000
Kepler-986 b,Kepler-986,1,1,0,56.43499380,0.276000,2.360,0.211,6.17000,0.01940,M-R relationship,0.000000,10.86,465,0,,5642.00,0.98,0.96,0.040,[Fe/H],-0.047,4.43,6.170,4.77055,,,,13.6421000
Kepler-987 b,Kepler-987,1,1,0,105.30331480,0.423800,3.260,0.291,10.70000,0.03360,M-R relationship,0.000000,3.85,351,0,,5637.00,0.91,0.97,0.010,[Fe/H],-0.145,4.51,2.450,4.07825,,,,14.9789000
Kepler-988 b,Kepler-988,1,1,0,17.76080053,0.108500,2.070,0.185,4.94000,0.01550,M-R relationship,0.000000,6.56,368,0,,4005.00,0.53,0.55,-0.320,[Fe/H],-1.047,4.73,3.160,3.38055,,,,15.2131000
