pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-272 d,Kepler-272,1,3,0,10.93730400,0.091000,2.250,0.201,5.69000,0.01790,M-R relationship,0.000000,141.13,777,0,,5297.00,0.93,0.86,0.090,[M/H],0.066,4.43,4.900,3.75841,,,,14.6591000
Kepler-273 b,Kepler-273,1,2,0,2.93653200,0.037000,1.500,0.134,2.86000,0.00899,M-R relationship,0.000000,285.64,1209,0,,5626.00,0.81,0.94,0.140,[Fe/H],-0.341,4.51,5.100,4.62323,,,,14.9683000
Kepler-273 c,Kepler-273,1,2,0,8.01492700,0.073000,1.980,0.177,4.58000,0.01440,M-R relationship,0.000000,74.89,865,0,,5626.00,0.81,0.94,0.140,[Fe/H],-0.341,4.51,5.100,1.39534,,,,14.9683000
Kepler-274 b,Kepler-274,1,2,0,11.63478800,0.101000,1.540,0.137,2.99000,0.00940,M-R relationship,0.000000,147.81,961,0,,6023.00,1.01,1.08,-0.211,[M/H],0.201,4.44,3.630,0.62776,,,,15.0319000
Kepler-274 c,Kepler-274,1,2,0,33.19786100,0.204000,1.840,0.164,4.04000,0.01270,M-R relationship,0.000000,36.52,678,0,,6023.00,1.01,1.08,-0.211,[M/H],0.201,4.44,3.630,3.20153,,,,15.0319000
Kepler-275 b,Kepler-275,1,3,0,10.30068200,0.098000,2.340,0.209,6.08000,0.01910,M-R relationship,0.000000,311.76,1015,0,,6165.00,1.38,1.16,0.000,[Fe/H],0.449,4.23,0.310,0.58429,,,,15.2874000
Kepler-275 c,Kepler-275,1,3,0,16.08813400,0.132000,3.380,0.302,11.40000,0.03570,M-R relationship,0.000000,171.82,875,0,,6165.00,1.38,1.16,0.000,[Fe/H],0.449,4.23,0.310,0.78039,,,,15.2874000
Kepler-275 d,Kepler-275,1,3,0,35.67606200,0.224000,3.330,0.297,11.10000,0.03480,M-R relationship,0.000000,59.44,671,0,,6165.00,1.38,1.16,0.000,[Fe/H],0.449,4.23,0.310,0.50839,,,,15.2874000
Kepler-276 b,Kepler-276,1,3,0,14.12841000,0.119000,2.870,0.256,8.60000,0.02710,M-R relationship,0.000000,58.59,739,0,,6105.00,1.05,1.04,0.020,[Fe/H],-0.089,4.45,0.400,2.57496,,,,15.3648000
Kepler-276 c,Kepler-276,1,3,0,31.88400000,0.199400,2.900,0.259,16.60000,0.05200,Mass,0.000000,19.79,563,1,,5779.00,1.03,1.10,0.020,[Fe/H],-0.089,4.46,0.400,1.73156,,,,15.3648000
Kepler-276 d,Kepler-276,1,3,0,48.64800000,0.264200,2.800,0.250,16.30000,0.05100,Mass,0.000000,11.27,489,1,,5779.00,1.03,1.10,0.020,[Fe/H],-0.089,4.46,0.400,4.01887,,,,15.3648000
Kepler-277 b,Kepler-277,1,2,0,17.32400000,0.138500,2.920,0.261,87.30000,0.27500,Mass,0.000000,198.25,964,1,,5946.00,1.69,1.12,0.100,[Fe/H],0.568,4.03,5.000,0.24777,,,,13.3884000
Kepler-277 c,Kepler-277,1,2,0,33.00600000,0.212900,3.360,0.300,64.20000,0.20200,Mass,0.000000,83.90,778,1,,5946.00,1.69,1.12,0.100,[Fe/H],0.568,4.03,5.000,0.24777,,,,13.3884000
Kepler-278 b,Kepler-278,1,2,0,30.16054600,0.207000,4.070,0.363,15.60000,0.04900,M-R relationship,0.040000,99.27,836,1,,4991.00,2.94,1.08,0.271,[M/H],0.620,3.62,7.760,0.16712,,,-46.73,11.5296000
Kepler-278 c,Kepler-278,1,2,0,51.07877500,0.294000,3.590,0.320,12.60000,0.03960,M-R relationship,0.510000,49.15,702,1,,4991.00,2.94,1.08,0.271,[M/H],0.620,3.62,7.760,0.20697,,,-46.73,11.5296000
Kepler-279 b,Kepler-279,1,3,0,12.30968100,0.112000,3.620,0.323,12.80000,0.04010,M-R relationship,0.000000,249.02,1104,1,,6363.00,1.75,1.16,-0.114,[M/H],0.519,4.05,0.220,0.06379,,,,13.5847000
Kepler-279 c,Kepler-279,1,3,0,35.73600000,0.223600,4.300,0.384,49.40000,0.15500,Mass,0.000000,60.16,774,1,,6689.45,1.07,1.10,-0.114,[M/H],0.519,4.42,0.220,0.04350,,,,13.5847000
Kepler-279 d,Kepler-279,1,3,0,54.41400000,0.290100,3.100,0.277,37.50000,0.11800,Mass,0.000000,35.74,574,1,,6689.45,1.07,1.10,-0.114,[M/H],0.519,4.42,0.220,0.05127,,,,13.5847000
Kepler-28 b,Kepler-28,1,2,0,5.91230000,0.062000,3.600,0.321,479.90000,1.51000,Mass,0.000000,62.58,585,1,M0 V,4590.00,0.70,0.75,0.340,[M/H],-0.745,4.29,2.240,4.13623,,,,15.0257000
Kepler-28 c,Kepler-28,1,2,0,8.98580000,0.081000,3.400,0.303,432.23000,1.36000,Mass,0.000000,35.90,509,1,M0 V,4590.00,0.70,0.75,0.340,[M/H],-0.745,4.29,2.240,3.50489,,,,15.0257000
Kepler-280 b,Kepler-280,1,2,0,2.13954200,0.032000,1.450,0.129,2.70000,0.00849,M-R relationship,0.000000,821.89,1425,0,,5744.00,0.89,0.96,0.121,[M/H],-0.064,4.54,4.270,1.74800,,,,14.4574000
Kepler-280 c,Kepler-280,1,2,0,4.80709100,0.056000,2.010,0.179,4.70000,0.01480,M-R relationship,0.000000,279.08,1088,0,,5744.00,0.89,0.96,0.121,[M/H],-0.064,4.54,4.270,64.09612,,,,14.4574000
Kepler-281 b,Kepler-281,1,2,0,14.64600800,0.117000,2.820,0.252,8.35000,0.02630,M-R relationship,0.000000,118.25,694,0,,5723.00,0.90,0.95,0.020,[Fe/H],0.146,4.53,0.600,0.42172,,,,15.7537000
Kepler-281 c,Kepler-281,1,2,0,36.33737300,0.215000,5.310,0.474,24.40000,0.07690,M-R relationship,0.000000,35.20,513,0,,5723.00,0.90,0.95,0.020,[Fe/H],0.146,4.53,0.600,0.24809,,,,15.7537000
Kepler-282 b,Kepler-282,1,4,0,9.22052400,0.082000,1.010,0.090,1.01000,0.00317,M-R relationship,0.000000,195.94,817,0,,5602.00,0.90,0.79,-0.250,[Fe/H],0.106,4.46,0.400,0.67980,,,,15.1779000
Kepler-282 c,Kepler-282,1,4,0,13.63872300,0.106000,1.200,0.107,1.87000,0.00588,M-R relationship,0.000000,116.12,717,0,,5602.00,0.90,0.79,-0.250,[Fe/H],0.106,4.46,0.400,0.73488,,,,15.1779000
Kepler-282 d,Kepler-282,1,4,0,24.80600000,0.154000,2.460,0.219,61.00000,0.19200,Mass,0.000000,52.35,588,1,,5699.00,0.89,0.97,-0.250,[Fe/H],0.106,4.53,0.400,0.94311,,,,15.1779000
Kepler-282 e,Kepler-282,1,4,0,44.34700000,0.226900,3.100,0.277,56.20000,0.17700,Mass,0.000000,24.11,484,1,,5699.00,0.89,0.97,-0.250,[Fe/H],0.106,4.53,0.400,1.36005,,,,15.1779000
Kepler-283 b,Kepler-283,1,2,0,11.00815100,0.082000,2.130,0.190,5.18000,0.01630,M-R relationship,0.000000,16.26,488,0,,4351.00,0.57,0.60,-0.170,[Fe/H],-0.983,4.72,3.090,12.57304,,,,15.8753000
Kepler-283 c,Kepler-283,1,2,0,92.74371100,0.341000,1.820,0.162,3.97000,0.01250,M-R relationship,0.000000,0.95,240,1,,4351.00,0.57,0.60,-0.170,[Fe/H],-0.983,4.72,3.090,0.06394,,,,15.8753000
Kepler-284 b,Kepler-284,1,2,0,12.69914900,0.104000,2.240,0.200,5.65000,0.01780,M-R relationship,0.000000,38.37,686,0,,5615.00,0.81,0.92,0.140,[Fe/H],-0.341,4.58,0.500,3.57325,,,,15.8126000
Kepler-284 c,Kepler-284,1,2,0,37.51445600,0.213000,2.610,0.233,7.32000,0.02300,M-R relationship,0.000000,9.04,478,0,,5615.00,0.81,0.92,0.140,[Fe/H],-0.341,4.58,0.500,1.88082,,,,15.8126000
Kepler-285 b,Kepler-285,1,2,0,2.63386700,0.036000,1.340,0.120,2.36000,0.00742,M-R relationship,0.000000,428.41,1131,0,,5411.00,0.81,0.82,0.160,[Fe/H],-0.279,4.58,0.600,2.44783,,,,15.1521000
Kepler-285 c,Kepler-285,1,2,0,6.18667600,0.064000,1.120,0.100,1.46000,0.00459,M-R relationship,0.000000,137.07,851,0,,5411.00,0.81,0.82,0.160,[Fe/H],-0.279,4.58,0.600,1.99799,,,,15.1521000
Kepler-286 b,Kepler-286,1,4,0,1.79630200,0.027000,1.240,0.111,2.07000,0.00651,M-R relationship,0.000000,925.92,1367,0,,5580.00,0.86,0.96,-0.120,[Fe/H],-0.116,4.50,2.750,1.86513,,,,15.5447000
Kepler-286 c,Kepler-286,1,4,0,3.46809500,0.042000,1.370,0.122,2.45000,0.00771,M-R relationship,0.000000,384.29,1098,0,,5580.00,0.86,0.96,-0.120,[Fe/H],-0.116,4.50,2.750,2.25157,,,,15.5447000
Kepler-286 d,Kepler-286,1,4,0,5.91432300,0.061000,1.330,0.119,2.33000,0.00733,M-R relationship,0.000000,188.48,919,0,,5580.00,0.86,0.96,-0.120,[Fe/H],-0.116,4.50,2.750,2.76282,,,,15.5447000
Kepler-286 e,Kepler-286,1,4,0,29.22128900,0.176000,1.770,0.158,3.78000,0.01190,M-R relationship,0.000000,22.40,539,0,,5580.00,0.86,0.96,-0.120,[Fe/H],-0.116,4.50,2.750,4.35378,,,,15.5447000
Kepler-287 b,Kepler-287,1,2,0,20.34219900,0.145000,2.330,0.208,6.04000,0.01900,M-R relationship,0.000000,35.75,667,0,K7 V,5806.00,1.03,0.97,0.117,[M/H],-0.134,4.40,7.600,13.82309,,,,14.7442000
Kepler-287 c,Kepler-287,1,2,0,44.85189600,0.246000,3.260,0.291,10.70000,0.03360,M-R relationship,0.000000,12.46,513,0,K7 V,5806.00,1.03,0.97,0.117,[M/H],-0.134,4.40,7.600,0.76343,,,,14.7442000
Kepler-288 b,Kepler-288,1,3,0,6.09732600,0.065000,1.670,0.149,3.43000,0.01080,M-R relationship,0.000000,247.30,1197,0,,5918.00,1.09,1.03,0.160,[Fe/H],0.056,4.35,3.720,1.32778,,,,15.1520000
Kepler-288 c,Kepler-288,1,3,0,19.30577200,0.140000,2.850,0.254,8.50000,0.02670,M-R relationship,0.000000,53.15,815,0,,5918.00,1.09,1.03,0.160,[Fe/H],0.056,4.35,3.720,2.21548,,,,15.1520000
Kepler-288 d,Kepler-288,1,3,0,56.63374200,0.287000,2.670,0.238,7.61000,0.02390,M-R relationship,0.000000,12.66,570,0,,5918.00,1.09,1.03,0.160,[Fe/H],0.056,4.35,3.720,1.90042,,,,15.1520000
Kepler-289 b,Kepler-289,1,3,0,34.54500000,0.210000,2.150,0.192,7.30000,0.02300,Mass,0.000000,27.37,607,1,,5990.00,1.00,1.08,0.050,[Fe/H],0.061,4.47,0.650,1.58000,,,,13.9628000
Kepler-289 c,Kepler-289,1,3,0,125.85180000,0.510000,11.590,1.034,132.00000,0.42000,Mass,0.000000,4.88,394,1,,5990.00,1.00,1.08,0.050,[Fe/H],0.061,4.47,0.650,1.58000,,,,13.9628000
Kepler-289 d,Kepler-289,1,3,0,66.06340000,0.330000,2.680,0.239,4.00000,0.01300,Mass,,,,1,,5990.00,1.00,1.08,0.050,[Fe/H],0.061,4.47,0.650,1.58000,,,,13.9628000
Kepler-29 b,Kepler-29,1,2,0,10.33974000,0.091900,2.550,0.227,5.00000,0.01573,Mass,0.000000,55.90,777,1,,5378.00,0.73,0.76,-0.440,[Fe/H],-0.297,4.60,0.300,3.18827,4.0000,,,15.2819000
Kepler-29 c,Kepler-29,1,2,0,13.28613000,0.108700,2.340,0.209,4.50000,0.01416,Mass,0.000000,34.40,715,1,,5378.00,0.73,0.76,-0.440,[Fe/H],-0.297,4.60,0.300,3.45528,4.0000,,,15.2819000
Kepler-290 b,Kepler-290,1,2,0,14.58934700,0.110000,2.250,0.201,5.69000,0.01790,M-R relationship,0.000000,22.64,594,0,,5147.00,0.74,0.80,-0.060,[Fe/H],-0.586,4.62,1.100,9.48752,,,,15.5648000
Kepler-290 c,Kepler-290,1,2,0,36.77031000,0.205000,2.700,0.241,7.75000,0.02440,M-R relationship,0.000000,6.60,437,0,,5147.00,0.74,0.80,-0.060,[Fe/H],-0.586,4.62,1.100,2.44273,,,,15.5648000
Kepler-291 b,Kepler-291,1,2,0,3.54651100,0.047000,2.160,0.193,5.31000,0.01670,M-R relationship,0.000000,627.37,1212,0,,6002.00,1.02,0.90,-0.110,[Fe/H],0.071,4.47,0.300,2.54384,,,,15.8985000
Kepler-291 c,Kepler-291,1,2,0,5.70078600,0.065000,1.880,0.168,4.19000,0.01320,M-R relationship,0.000000,332.74,1035,0,,6002.00,1.02,0.90,-0.110,[Fe/H],0.071,4.47,0.300,11.48591,,,,15.8985000
Kepler-292 b,Kepler-292,1,5,0,2.58082700,0.035000,1.320,0.118,2.30000,0.00724,M-R relationship,0.000000,394.30,1130,0,,5299.00,0.83,0.85,-0.070,[Fe/H],-0.337,4.54,5.130,2.14949,,,,15.9419000
Kepler-292 c,Kepler-292,1,5,0,3.71533500,0.045000,1.470,0.131,2.76000,0.00869,M-R relationship,0.000000,242.42,1001,0,,5299.00,0.83,0.85,-0.070,[Fe/H],-0.337,4.54,5.130,1.67835,,,,15.9419000
Kepler-292 d,Kepler-292,1,5,0,7.05567900,0.068000,2.230,0.199,5.60000,0.01760,M-R relationship,0.000000,103.00,808,0,,5299.00,0.83,0.85,-0.070,[Fe/H],-0.337,4.54,5.130,2.04738,,,,15.9419000
Kepler-292 e,Kepler-292,1,5,0,11.97901000,0.097000,2.670,0.238,7.61000,0.02390,M-R relationship,0.000000,50.92,678,0,,5299.00,0.83,0.85,-0.070,[Fe/H],-0.337,4.54,5.130,2.04037,,,,15.9419000
Kepler-292 f,Kepler-292,1,5,0,20.83423700,0.141000,2.350,0.210,6.12000,0.01930,M-R relationship,0.000000,24.32,563,0,,5299.00,0.83,0.85,-0.070,[Fe/H],-0.337,4.54,5.130,1.84341,,,,15.9419000
Kepler-293 b,Kepler-293,1,2,0,19.25419600,0.144000,3.070,0.274,9.64000,0.03030,M-R relationship,0.000000,28.94,657,0,,5804.00,0.96,0.94,0.040,[Fe/H],-0.233,4.50,0.500,1.81242,,,,15.3334000
Kepler-293 c,Kepler-293,1,2,0,54.15574300,0.286000,3.830,0.342,14.00000,0.04420,M-R relationship,0.000000,7.29,466,0,,5804.00,0.96,0.94,0.040,[Fe/H],-0.233,4.50,0.500,0.80416,,,,15.3334000
Kepler-294 b,Kepler-294,1,2,0,3.70121200,0.048000,1.770,0.158,3.78000,0.01190,M-R relationship,0.000000,329.80,1087,0,,5913.00,0.98,0.95,0.160,[Fe/H],-0.148,4.49,0.600,2.17431,,,,15.8186000
Kepler-294 c,Kepler-294,1,2,0,6.62640000,0.071000,2.710,0.242,7.80000,0.02450,M-R relationship,0.000000,151.49,895,0,,5913.00,0.98,0.95,0.160,[Fe/H],-0.148,4.49,0.600,1.58309,,,,15.8186000
Kepler-295 b,Kepler-295,1,3,0,12.64516400,0.099000,1.220,0.109,1.98000,0.00624,M-R relationship,0.000000,391.01,741,0,,5603.00,0.90,0.89,-0.010,[Fe/H],0.629,4.44,8.800,0.01018,,,,14.4325000
Kepler-295 c,Kepler-295,1,3,0,21.52625800,0.142000,1.170,0.104,1.71000,0.00537,M-R relationship,0.000000,192.14,621,0,,5603.00,0.90,0.89,-0.010,[Fe/H],0.629,4.44,8.800,0.31964,,,,14.4325000
Kepler-295 d,Kepler-295,1,3,0,33.88405400,0.192000,1.360,0.121,2.42000,0.00761,M-R relationship,0.000000,104.96,533,0,,5603.00,0.90,0.89,-0.010,[Fe/H],0.629,4.44,8.800,0.03922,,,,14.4325000
Kepler-297 b,Kepler-297,1,2,0,38.87182600,0.217000,2.870,0.256,48.50000,0.15300,Mass,0.000000,16.46,509,1,,5619.00,0.92,0.98,-0.100,[Fe/H],-0.096,4.47,1.900,1.60443,,,,14.1922000
Kepler-297 c,Kepler-297,1,2,0,74.92013700,0.336000,6.540,0.583,42.10000,0.13200,Mass,0.000000,6.86,409,1,,5619.00,0.92,0.98,-0.100,[Fe/H],-0.096,4.47,1.900,1.88515,,,,14.1922000
Kepler-298 b,Kepler-298,1,3,0,10.47546400,0.080000,1.960,0.175,4.50000,0.01420,M-R relationship,0.000000,24.71,540,0,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,6.83183,,,,15.4179000
Kepler-298 c,Kepler-298,1,3,0,22.92881000,0.136000,1.930,0.172,4.38000,0.01380,M-R relationship,0.000000,8.70,416,0,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,6.34932,,,,15.4179000
Kepler-298 d,Kepler-298,1,3,0,77.47363300,0.305000,2.500,0.223,6.80000,0.02140,M-R relationship,0.000000,1.72,277,0,,4465.00,0.58,0.66,-0.210,[Fe/H],-0.733,4.71,2.400,3.24928,,,,15.4179000
Kepler-299 b,Kepler-299,1,4,0,2.92712800,0.040000,1.320,0.118,2.30000,0.00724,M-R relationship,0.000000,622.07,1258,0,,5617.00,1.03,0.95,-0.010,[Fe/H],-0.044,4.39,0.400,1.15252,,,,15.0103000
Kepler-299 c,Kepler-299,1,4,0,6.88587500,0.070000,2.650,0.236,7.51000,0.02360,M-R relationship,0.000000,198.55,946,0,,5617.00,1.03,0.95,-0.010,[Fe/H],-0.044,4.39,0.400,0.63018,,,,15.0103000
Kepler-299 d,Kepler-299,1,4,0,15.05478600,0.118000,1.860,0.166,4.12000,0.01300,M-R relationship,0.000000,69.96,729,0,,5617.00,1.03,0.95,-0.010,[Fe/H],-0.044,4.39,0.400,1.02421,,,,15.0103000
Kepler-299 e,Kepler-299,1,4,0,38.28548900,0.220000,1.870,0.167,4.16000,0.01310,M-R relationship,0.000000,20.17,534,1,,5617.00,1.03,0.95,-0.010,[Fe/H],-0.044,4.39,0.400,1.16796,,,,15.0103000
Kepler-30 b,Kepler-30,1,3,0,29.33434000,0.180000,3.900,0.348,11.30000,0.03600,Mass,0.042000,16.38,524,1,,5498.00,0.95,0.99,0.180,[Fe/H],-0.237,4.77,2.000,2.00000,1.9400,,,15.3761000
Kepler-30 c,Kepler-30,1,3,0,60.32310500,0.300000,12.300,1.097,640.00000,2.01000,Mass,0.011100,6.22,411,1,,5498.00,0.95,0.99,0.180,[Fe/H],-0.237,4.77,2.000,2.00000,1.9400,,,15.3761000
Kepler-30 d,Kepler-30,1,3,0,143.34394000,0.500000,8.800,0.785,23.10000,0.07300,Mass,0.022000,1.96,308,1,,5498.00,0.95,0.99,0.180,[Fe/H],-0.237,4.77,2.000,2.00000,1.9400,,,15.3761000
Kepler-300 b,Kepler-300,1,2,0,10.44634700,0.094000,1.670,0.149,3.43000,0.01080,M-R relationship,0.000000,265.19,812,0,,5986.00,0.90,1.07,0.040,[Fe/H],0.340,4.53,3.630,1.21929,,,,14.1797000
Kepler-300 c,Kepler-300,1,2,0,40.71495500,0.232000,2.250,0.201,5.69000,0.01790,M-R relationship,0.000000,43.25,516,1,,5986.00,0.90,1.07,0.040,[Fe/H],0.340,4.53,3.630,0.39973,,,,14.1797000
Kepler-301 b,Kepler-301,1,3,0,2.50855300,0.036000,1.350,0.120,2.39000,0.00752,M-R relationship,0.000000,665.44,1278,0,,5815.00,0.90,0.98,0.187,[M/H],-0.080,4.53,4.170,1.76008,,,,14.2737000
Kepler-301 c,Kepler-301,1,3,0,5.41902600,0.060000,1.350,0.120,2.39000,0.00752,M-R relationship,0.000000,238.48,989,0,,5815.00,0.90,0.98,0.187,[M/H],-0.080,4.53,4.170,4.03105,,,,14.2737000
Kepler-301 d,Kepler-301,1,3,0,13.75124300,0.112000,1.750,0.156,3.71000,0.01170,M-R relationship,0.000000,68.93,725,0,,5815.00,0.90,0.98,0.187,[M/H],-0.080,4.53,4.170,1.75104,,,,14.2737000
Kepler-302 b,Kepler-302,1,2,0,30.18410400,0.193000,4.060,0.362,15.50000,0.04880,M-R relationship,0.000000,31.25,634,0,,5740.00,1.22,1.02,0.060,[Fe/H],0.049,4.29,0.500,1.35151,,,,15.4911000
Kepler-302 c,Kepler-302,1,2,0,127.28218400,0.503000,12.450,1.111,,,Msini,0.000000,4.58,392,0,,5740.00,1.22,1.02,0.060,[Fe/H],0.049,4.29,0.500,1.06975,,,,15.4911000
Kepler-303 b,Kepler-303,1,2,0,1.93705500,0.024000,0.890,0.079,0.64000,0.00201,M-R relationship,0.000000,145.44,802,0,M0 V,3944.00,0.48,0.57,-0.414,[M/H],-1.066,4.77,3.310,5.28345,,,,14.3960000
Kepler-303 c,Kepler-303,1,2,0,7.06114900,0.057000,1.140,0.102,1.55000,0.00489,M-R relationship,0.000000,25.85,521,0,M0 V,3944.00,0.48,0.57,-0.414,[M/H],-1.066,4.77,3.310,60.48401,,,,14.3960000
Kepler-304 b,Kepler-304,1,4,0,3.29570900,0.039000,2.860,0.255,8.55000,0.02690,M-R relationship,0.000000,139.15,875,0,,4731.00,0.69,0.80,0.050,[Fe/H],-0.662,4.63,2.090,4.07394,,,,14.8308000
Kepler-304 c,Kepler-304,1,4,0,5.31594600,0.054000,2.170,0.194,5.35000,0.01680,M-R relationship,0.000000,73.60,746,0,,4731.00,0.69,0.80,0.050,[Fe/H],-0.662,4.63,2.090,36.68262,,,,14.8308000
Kepler-304 d,Kepler-304,1,4,0,9.65347100,0.080000,2.750,0.245,8.00000,0.02520,M-R relationship,0.000000,33.16,611,0,,4731.00,0.69,0.80,0.050,[Fe/H],-0.662,4.63,2.090,3.54622,,,,14.8308000
Kepler-304 e,Kepler-304,1,4,0,1.49914695,0.023200,1.200,0.107,1.87000,0.00588,M-R relationship,0.000000,397.25,1137,0,,4817.00,0.73,0.80,0.050,[Fe/H],-0.662,4.61,2.090,4.41479,,,,14.8308000
Kepler-305 b,Kepler-305,1,4,0,5.48700000,0.057100,3.600,0.321,10.50000,0.03300,Mass,0.000000,112.91,836,1,,5117.00,0.80,0.76,0.030,[Fe/H],-0.423,4.51,4.370,0.68028,,,,15.7661000
Kepler-305 c,Kepler-305,1,4,0,8.29100000,0.075200,3.300,0.294,6.00000,0.01900,Mass,0.000000,65.10,728,1,,5117.00,0.80,0.76,0.030,[Fe/H],-0.423,4.51,4.370,0.14861,,,,15.7661000
Kepler-305 d,Kepler-305,1,4,0,16.73866100,0.121000,2.710,0.242,9.10000,0.02863,Mass,0.000000,25.52,576,0,,5100.00,0.79,0.85,0.030,[Fe/H],-0.423,4.56,4.370,10.92546,,,,15.7661000
Kepler-305 e,Kepler-305,1,4,0,3.20538000,0.039900,1.794,0.160,3.87000,0.01220,M-R relationship,0.000000,236.11,1000,0,,4974.00,0.83,0.82,0.040,[Fe/H],-0.423,4.52,4.370,2.04185,,,,15.7661000
Kepler-306 b,Kepler-306,1,4,0,4.64618600,0.050000,1.520,0.136,2.92000,0.00920,M-R relationship,0.000000,127.25,830,0,,4954.00,0.72,0.81,-0.080,[Fe/H],-0.469,4.61,2.630,3.07953,,,,15.5524000
Kepler-306 c,Kepler-306,1,4,0,7.24019300,0.067000,2.350,0.210,6.12000,0.01930,M-R relationship,0.000000,70.45,716,0,,4954.00,0.72,0.81,-0.080,[Fe/H],-0.469,4.61,2.630,2.71033,,,,15.5524000
Kepler-306 d,Kepler-306,1,4,0,17.32664400,0.120000,2.470,0.220,6.66000,0.02100,M-R relationship,0.000000,21.98,535,0,,4954.00,0.72,0.81,-0.080,[Fe/H],-0.469,4.61,2.630,1.48104,,,,15.5524000
Kepler-306 e,Kepler-306,1,4,0,44.84097500,0.227000,2.270,0.203,5.77000,0.01820,M-R relationship,0.000000,6.18,390,0,,4954.00,0.72,0.81,-0.080,[Fe/H],-0.469,4.61,2.630,2.45486,,,,15.5524000
Kepler-307 b,Kepler-307,1,2,0,10.42080000,0.091700,2.430,0.217,7.44000,0.02341,Mass,0.000000,59.70,797,1,,5367.00,0.81,0.91,0.190,[Fe/H],-0.122,4.46,13.500,1.73492,,,,14.0561000
Kepler-307 c,Kepler-307,1,2,0,13.07290000,0.106800,2.200,0.196,3.64000,0.01145,Mass,0.000000,44.00,739,1,,5367.00,0.81,0.91,0.190,[Fe/H],-0.122,4.46,13.500,1.64444,,,,14.0561000
Kepler-308 b,Kepler-308,1,2,0,9.69492800,0.090000,2.120,0.189,5.14000,0.01620,M-R relationship,0.000000,108.64,833,0,,5895.00,0.94,0.92,-0.040,[Fe/H],-0.116,4.51,0.500,3.68154,,,,15.8506000
Kepler-308 c,Kepler-308,1,2,0,15.38231000,0.123000,2.160,0.193,5.31000,0.01670,M-R relationship,0.000000,58.68,714,0,,5895.00,0.94,0.92,-0.040,[Fe/H],-0.116,4.51,0.500,2.26029,,,,15.8506000
Kepler-309 b,Kepler-309,1,2,0,5.92365300,0.059000,1.560,0.139,3.05000,0.00961,M-R relationship,0.000000,99.49,531,0,M0 V,4713.00,0.72,0.67,0.110,[Fe/H],-0.574,4.61,3.020,2.80440,,,,15.1261000
Kepler-309 c,Kepler-309,1,2,0,105.35638300,0.401000,2.510,0.224,6.85000,0.02150,M-R relationship,0.000000,2.14,204,1,M0 V,4713.00,0.72,0.67,0.110,[Fe/H],-0.574,4.61,3.020,4.45517,,,,15.1261000
Kepler-31 b,Kepler-31,1,3,0,20.86130000,0.160000,5.500,0.491,25.90000,0.08160,M-R relationship,0.000000,91.47,781,1,,6340.00,1.22,1.21,-0.076,[Fe/H],0.301,4.70,0.280,1.40526,,,,15.2240000
Kepler-31 c,Kepler-31,1,3,0,42.63180000,0.260000,5.300,0.473,1493.70000,4.70000,Mass,0.000000,35.25,615,1,,6340.00,1.22,1.21,-0.076,[Fe/H],0.301,4.70,0.280,1.64062,,,,15.2240000
Kepler-31 d,Kepler-31,1,3,0,87.64510000,0.400000,3.900,0.348,2161.24400,6.80000,Mass,0.000000,13.49,484,0,,6340.00,1.22,1.21,-0.076,[Fe/H],0.301,4.70,0.280,1.11917,,,,15.2240000
Kepler-310 b,Kepler-310,1,3,0,13.93069800,0.111000,1.190,0.106,1.81000,0.00570,M-R relationship,0.000000,45.97,665,1,,5797.00,0.88,0.91,-0.070,[Fe/H],-0.239,4.52,1.900,10.54459,,,,14.2650000
Kepler-310 c,Kepler-310,1,3,0,56.47542000,0.281000,3.380,0.302,11.40000,0.03570,M-R relationship,0.000000,7.11,417,1,,5797.00,0.88,0.91,-0.070,[Fe/H],-0.239,4.52,1.900,0.33372,,,,14.2650000
Kepler-310 d,Kepler-310,1,3,0,92.87612500,0.392000,2.470,0.220,7.00000,0.02202,Mass,0.000000,3.66,353,0,,5797.00,0.88,0.91,-0.070,[Fe/H],-0.239,4.52,1.900,0.52514,,,,14.2650000
Kepler-311 b,Kepler-311,1,2,0,9.17609200,0.087000,1.700,0.152,3.53000,0.01110,M-R relationship,0.000000,201.36,960,0,,5905.00,1.19,1.08,-0.010,[Fe/H],0.193,4.31,1.950,1.01776,,,,13.7537000
Kepler-311 c,Kepler-311,1,2,0,19.73828600,0.145000,1.430,0.128,2.63000,0.00829,M-R relationship,0.000000,72.46,744,0,,5905.00,1.19,1.08,-0.010,[Fe/H],0.193,4.31,1.950,0.57244,,,,13.7537000
Kepler-312 b,Kepler-312,1,2,0,1.77241900,0.031000,1.290,0.115,2.21000,0.00696,M-R relationship,0.000000,4124.02,1685,0,,6115.00,1.47,1.20,0.121,[M/H],0.598,4.19,1.480,0.30899,,,,12.9211000
