pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_age,st_dens,sy_dist
CoRoT-31 b,CoRoT-31,1,1,4.62941000,0.058600,16.365,1.460,266.97720,0.84000,0.020000,G2 IV,5700.00,2.15,1.25,0.000,[Fe/H],4.700,0.15180,2005.7600000
CoRoT-4 b,CoRoT-4,1,1,9.20205000,0.090000,13.340,1.190,228.83000,0.72000,0.000000,,6190.00,1.17,1.16,0.050,,1.000,1.11000,726.4120000
CoRoT-5 b,CoRoT-5,1,1,4.03789620,0.049470,15.558,1.388,148.42000,0.46700,0.090000,F9 V,6100.00,1.19,1.00,-0.250,[M/H],6.900,1.01000,882.4720000
CoRoT-6 b,CoRoT-6,1,1,8.88659300,0.085500,13.068,1.166,940.74000,2.96000,0.100000,F9 V,6090.00,1.02,1.05,-0.200,[Fe/H],2.500,1.31000,645.2940000
CoRoT-7 b,CoRoT-7,1,2,0.85359163,0.017016,1.681,0.150,4.07661,0.01283,0.000000,G9 V,5275.00,0.83,0.82,0.050,[Fe/H],1.750,2.00000,159.9060000
CoRoT-7 c,CoRoT-7,1,2,3.69800000,0.046000,2.830,0.253,8.40000,0.02643,0.000000,G9 V,5256.00,0.86,0.90,0.060,[M/H],1.750,1.96324,159.9060000
CoRoT-8 b,CoRoT-8,1,1,6.21229000,0.063000,6.390,0.570,69.92000,0.22000,0.000000,K1 V,5080.00,0.77,0.88,0.300,[M/H],3.000,2.70000,322.0370000
CoRoT-9 b,CoRoT-9,2,1,95.27265600,0.402100,11.949,1.066,266.97720,0.84000,0.133000,G3 V,5625.00,0.96,0.96,-0.010,[Fe/H],6.000,1.51000,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,6.71837000,0.071000,6.389,0.570,47.67450,0.15000,,G0 VI,5970.00,0.79,1.08,0.000,[Fe/H],,1.57283,576.6830000
DE CVn b,DE CVn,2,1,4098.10000000,5.750000,12.400,1.100,3823.27330,12.02930,0.000000,,3579.00,0.42,0.51,,,,7.71066,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,246.36000000,0.360000,11.900,1.060,9057.77000,28.50000,0.345000,L1.5,,,0.07,,,1.000,,20.7700000
DH Tau b,DH Tau,1,1,,330.000000,30.264,2.700,3496.00000,11.00000,,M0.5,4371.00,0.27,0.33,,,0.001,0.37705,134.8460000
DMPP-1 b,DMPP-1,1,4,18.57000000,0.146200,5.290,0.472,24.27000,0.07636,0.083000,F8 V,6196.00,1.26,1.21,,,2.010,0.81281,62.5388000
DMPP-1 c,DMPP-1,1,4,6.58400000,0.073300,3.060,0.273,9.60000,0.03020,0.057000,F8 V,6196.00,1.26,1.21,,,2.010,0.81281,62.5388000
DMPP-1 d,DMPP-1,1,4,2.88200000,0.042200,1.650,0.147,3.35000,0.01054,0.070000,F8 V,6196.00,1.26,1.21,,,2.010,0.81281,62.5388000
DMPP-1 e,DMPP-1,1,4,5.51600000,0.065100,1.860,0.166,4.13000,0.01299,0.070000,F8 V,6196.00,1.26,1.21,,,2.010,0.81281,62.5388000
DMPP-2 b,DMPP-2,1,1,5.20720000,0.066400,14.300,1.280,138.89171,0.43700,0.078000,F5 V,6500.00,1.78,1.44,,,2.000,0.24354,137.9400000
DMPP-3 A b,DMPP-3 A,2,1,6.67320000,0.066200,1.410,0.126,2.58000,0.00812,0.140000,K0 V,5138.00,0.91,0.87,0.180,[Fe/H],10.900,,45.2300000
DP Leo b,DP Leo,2,1,10220.00000000,8.190000,12.700,1.140,1995.88832,6.28000,0.390000,,13500.00,0.01,0.69,,,,,305.6840000
DS Tuc A b,DS Tuc A,2,1,8.13826800,,5.700,0.509,413.17900,1.30000,0.000000,G6 V,5428.00,0.96,1.01,0.000,,0.045,2.40000,44.0622000
EPIC 201170410.02,EPIC 201170410,1,1,6.79870000,0.034900,1.047,0.093,1.15000,0.00360,0.000000,,3648.00,0.28,0.29,-0.048,[Fe/H],,,134.0000000
EPIC 201238110 b,EPIC 201238110,1,1,28.16560000,,1.870,0.167,4.16000,0.01310,,,3587.00,0.37,0.41,,,,6.73294,159.2590000
EPIC 201497682 b,EPIC 201497682,1,1,2.13174000,,0.692,0.062,0.26000,0.00082,,,4991.00,0.55,0.78,-0.089,[M/H],,3.22926,253.0260000
EPIC 201615463 c,K2-166,1,2,3.80464000,,1.220,0.109,1.98000,0.00624,,,5942.50,1.60,1.07,-0.051,[M/H],,0.42293,476.8820000
EPIC 201754305 d,K2-16,1,3,2.71578000,,1.030,0.092,1.08000,0.00340,,K3 V,4761.00,0.54,0.67,-0.330,[Fe/H],,2.95996,334.9670000
EPIC 201757695.02,EPIC 201757695,1,1,2.04780000,0.029600,0.908,0.081,0.68800,0.00217,0.000000,,4520.00,0.66,0.73,-0.003,[Fe/H],,,577.6000000
