pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_gaiamag
55 Cnc c,55 Cnc,1,2,5,44.39890000,0.237300,51.20000,0.16110,0.030000,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.7297300
55 Cnc c,55 Cnc,0,2,5,44.41750000,0.241376,54.47380,0.17140,0.020000,,,,0.95,,,,5.7297300
55 Cnc d,55 Cnc,0,2,5,4867.00000000,5.446000,1226.77000,3.86000,0.026900,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc d,55 Cnc,0,2,5,5218.00000000,5.770000,1218.82700,3.83500,0.025000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc d,55 Cnc,0,2,5,4517.40000000,5.257000,1243.35096,3.91200,0.327000,,,,0.95,,,,5.7297300
55 Cnc d,55 Cnc,0,2,5,5360.00000000,5.900000,1287.21150,4.05000,0.160000,,,,0.95,0.270,[Fe/H],,5.7297300
55 Cnc d,55 Cnc,0,2,5,5370.00000000,5.840000,1220.42000,3.84000,0.063000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc d,55 Cnc,0,2,5,4545.00000000,5.280000,918.49000,2.89000,0.240000,,,,,,,,5.7297300
55 Cnc d,55 Cnc,0,2,5,4909.00000000,5.470000,1121.89000,3.53000,0.020000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc d,55 Cnc,1,2,5,5574.20000000,5.957000,991.60000,3.12000,0.130000,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.7297300
55 Cnc d,55 Cnc,0,2,5,4825.00000000,5.503000,1232.49300,3.87800,0.019000,,,,0.95,,,,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73700000,,7.74000,0.02435,,,5172.00,0.95,0.87,0.350,[Fe/H],4.43,5.7297300
55 Cnc e,55 Cnc,1,2,5,0.73654740,0.015440,7.99000,0.02514,0.050000,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.7297300
55 Cnc e,55 Cnc,0,2,5,,0.015440,8.08000,0.02542,,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73654370,0.015440,7.81000,0.02457,0.061000,1958,5234.00,0.94,0.91,0.310,[Fe/H],4.45,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73655150,0.015691,8.13928,0.02561,0.040000,,,,0.95,,,,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73654780,0.015439,8.09479,0.02547,0.028000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73654600,0.015830,8.37000,0.02600,0.000000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73654000,0.015830,8.63000,0.02700,,,,0.94,0.96,,,,5.7297300
55 Cnc e,55 Cnc,0,2,5,2.80800000,0.038000,14.30235,0.04500,0.174000,,,,0.95,,,,5.7297300
55 Cnc e,55 Cnc,0,2,5,2.79674000,0.037700,7.46870,0.02350,0.264000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73653900,0.015440,8.08000,0.02542,,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc e,55 Cnc,0,2,5,,,,,,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc e,55 Cnc,0,2,5,0.73654170,,,,,,,,,,,,5.7297300
55 Cnc f,55 Cnc,0,2,5,260.91000000,0.773300,47.00510,0.14790,0.080000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc f,55 Cnc,0,2,5,261.20000000,0.770000,54.66400,0.17200,0.320000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc f,55 Cnc,0,2,5,260.70000000,0.775000,44.81200,0.14100,0.000000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
55 Cnc f,55 Cnc,0,2,5,262.00000000,0.788000,44.81200,0.14100,0.305000,,,,0.95,,,,5.7297300
55 Cnc f,55 Cnc,1,2,5,259.88000000,0.770800,47.80000,0.15030,0.080000,,5172.00,0.94,0.91,0.350,[Fe/H],4.43,5.7297300
55 Cnc f,55 Cnc,0,2,5,260.00000000,0.781000,45.76600,0.14400,0.200000,,5250.00,0.96,0.90,0.350,[M/H],4.42,5.7297300
6 Lyn b,6 Lyn,0,1,1,874.77400000,2.180000,702.40430,2.21000,0.125000,,,5.20,1.82,,,,5.6068600
6 Lyn b,6 Lyn,1,1,1,934.30000000,2.110000,638.83830,2.01000,0.073000,,4938.00,5.20,1.44,,,3.19,5.6068600
6 Lyn b,6 Lyn,0,1,1,899.00000000,2.200000,762.80000,2.40000,0.134000,,4978.00,5.20,1.70,-0.130,[Fe/H],3.16,5.6068600
